step,loss,lr,tokens_per_sec,mem_gb,entropy
10,1.7734,2e-06,10342,8.4,1.386
20,1.5858,4e-06,11469,8.4,1.386
30,1.6151,6e-06,11485,8.4,1.386
40,1.388,8e-06,11482,8.4,1.386
50,1.3652,1e-05,10908,8.4,1.386
60,1.3106,1.2e-05,11498,8.4,1.386
70,1.3507,1.4e-05,11487,8.4,1.386
80,1.279,1.6e-05,11495,8.4,1.386
90,1.2136,1.8e-05,11481,8.4,1.386
100,1.2442,2e-05,11471,8.4,1.386
110,1.1932,2e-05,11173,8.4,1.386
120,1.163,2e-05,11485,8.4,1.386
130,1.1376,2e-05,11490,8.4,1.386
140,1.2304,2e-05,11490,8.4,1.386
150,1.1535,2e-05,11508,8.5,1.386
160,1.148,2e-05,11475,8.4,1.386
170,1.2205,2e-05,11235,8.4,1.386
180,1.1997,2e-05,11484,8.4,1.386
190,1.1812,2e-05,11498,8.4,1.386
200,1.1341,2e-05,11504,8.5,1.386
210,1.194,2e-05,11504,8.4,1.386
220,1.1556,2e-05,11496,8.4,1.386
230,1.1424,2e-05,11242,8.4,1.386
240,1.163,2e-05,11491,8.4,1.386
250,1.1883,2e-05,11511,8.4,1.386
260,1.1877,2e-05,11492,8.4,1.386
270,1.1171,2e-05,11513,8.4,1.386
280,1.1929,2e-05,11499,8.4,1.386
290,1.1307,2e-05,11248,8.4,1.386
300,1.1611,2e-05,11512,8.4,1.386
310,1.174,2e-05,11488,8.4,1.386
320,1.1633,2e-05,11495,8.4,1.386
330,1.1095,2e-05,11506,8.4,1.386
340,1.1589,2e-05,11293,8.4,1.386
350,1.1165,2e-05,11504,8.4,1.386
360,1.1548,2e-05,11503,8.4,1.386
370,1.1614,2e-05,11524,8.5,1.386
380,1.0497,2e-05,11502,8.4,1.386
390,1.1012,2e-05,11507,8.5,1.386
400,1.098,2e-05,11238,8.4,1.386
410,1.0364,2e-05,11491,8.4,1.386
420,1.2003,2e-05,11502,8.4,1.386
430,1.0509,2e-05,11498,8.4,1.386
440,1.1397,2e-05,11502,8.4,1.386
450,1.0539,2e-05,11501,8.4,1.386
460,1.0547,2e-05,11284,8.4,1.386
470,1.1363,2e-05,11508,8.4,1.386
480,1.1411,2e-05,11503,8.4,1.386
490,1.1533,2e-05,11463,8.4,1.386
500,1.1478,2e-05,11492,8.4,1.386
510,1.0887,2e-05,11490,8.4,1.386
520,1.1842,2e-05,11281,8.4,1.386
530,1.0675,2e-05,11486,8.4,1.386
540,1.1368,2e-05,11484,8.5,1.386
550,1.0698,2e-05,11489,8.4,1.386
560,1.0657,2e-05,11479,8.4,1.386
570,0.9778,2e-05,11480,8.4,1.386
580,0.9988,2e-05,11231,8.4,1.386
590,1.0222,2e-05,11501,8.4,1.386
600,1.1383,2e-05,11501,8.4,1.386
610,1.0915,2e-05,11505,8.4,1.386
620,1.0928,2e-05,11499,8.4,1.386
630,1.1238,2e-05,11518,8.4,1.386
640,1.1257,2e-05,11304,8.4,1.386
650,1.1405,2e-05,11501,8.4,1.386
660,1.0411,2e-05,11500,8.4,1.386
670,1.0299,2e-05,11520,8.4,1.386
680,1.1134,2e-05,11523,8.4,1.386
690,1.0108,2e-05,11518,8.4,1.386
700,0.9952,2e-05,11272,8.4,1.386
710,1.044,2e-05,11499,8.4,1.386
720,1.0463,2e-05,11499,8.4,1.386
730,1.0616,2e-05,11495,8.4,1.386
740,1.0995,2e-05,11490,8.4,1.386
750,1.0408,2e-05,11295,8.4,1.386
760,1.0234,2e-05,11507,8.4,1.386
770,1.0285,2e-05,11483,8.4,1.386
780,1.0103,2e-05,11496,8.4,1.386
790,1.0628,2e-05,11499,8.4,1.386
