step,loss,lr,tau,tokens_per_sec,static_entropy
10,12.1328,1e-06,1.0,11769,1.386
20,11.9531,1e-06,0.999,11756,1.386
30,11.4922,2e-06,0.999,11783,1.386
40,10.9102,2e-06,0.998,11762,1.386
50,10.4961,3e-06,0.998,11832,1.386
60,10.3047,3e-06,0.997,11997,1.386
70,10.0781,4e-06,0.997,11978,1.386
80,9.5859,4e-06,0.996,11990,1.386
90,9.457,5e-06,0.996,11979,1.386
100,9.2305,5e-06,0.995,11970,1.386
110,8.7539,6e-06,0.995,11963,1.386
120,8.5312,6e-06,0.995,11978,1.386
130,8.4395,7e-06,0.994,11981,1.386
140,8.3828,7e-06,0.994,11966,1.386
150,8.4492,8e-06,0.993,11977,1.386
160,8.1738,8e-06,0.993,11968,1.386
170,8.1465,9e-06,0.992,11873,1.386
180,8.0879,9e-06,0.992,11768,1.386
190,8.0352,1e-05,0.991,11774,1.386
200,7.9902,1e-05,0.991,11768,1.386
210,7.8789,1e-05,0.99,11764,1.386
220,7.627,1.1e-05,0.99,11840,1.386
230,7.7246,1.2e-05,0.989,11987,1.386
240,7.2773,1.2e-05,0.989,11986,1.386
250,7.291,1.3e-05,0.989,11980,1.386
260,7.2129,1.3e-05,0.988,11776,1.386
270,7.2383,1.4e-05,0.988,11746,1.386
280,7.4805,1.4e-05,0.987,11733,1.386
290,6.9531,1.5e-05,0.987,11741,1.386
300,6.5742,1.5e-05,0.986,11883,1.386
310,6.4844,1.6e-05,0.986,11914,1.386
320,6.2969,1.6e-05,0.985,11949,1.386
330,6.3008,1.7e-05,0.985,11834,1.386
340,6.332,1.7e-05,0.984,11735,1.386
350,6.1641,1.7e-05,0.984,11757,1.386
360,6.0059,1.8e-05,0.983,11747,1.386
370,5.8828,1.8e-05,0.983,11769,1.386
380,6.0703,1.9e-05,0.983,11737,1.386
390,5.9883,2e-05,0.982,11726,1.386
400,5.8613,2e-05,0.982,11727,1.386
410,5.7363,2.1e-05,0.981,11742,1.386
420,6.2285,2.1e-05,0.981,11721,1.386
430,5.7344,2.2e-05,0.98,11840,1.386
